"Project","Deployment_ID","Species_Name","Common_Name","Age","Sex","Count","Class","Latitude","Longitude"
"Snapshot USA - 2019","d58722","Ursus arctos","Brown Bear","Unknown","Unknown",1,"Mammals",59.42643,-136.2225
"Snapshot USA - 2019","d58722","Ursus arctos","Brown Bear","Adult","Female",1,"Mammals",59.42643,-136.2225
"Snapshot USA - 2019","d58722","Ursus arctos","Brown Bear","Juvenile","Unknown",2,"Mammals",59.42643,-136.2225
"Snapshot USA - 2019","d58722","Ursus arctos","Brown Bear","Unknown","Unknown",2,"Mammals",59.42643,-136.2225
"Snapshot USA - 2019","d58722","Haliaeetus leucocephalus","Bald Eagle","Unknown","Unknown",1,"Aves",59.42643,-136.2225
"Snapshot USA - 2019","d58722","Ursus arctos","Brown Bear","Juvenile","Unknown",1,"Mammals",59.42643,-136.2225
"Snapshot USA - 2019","d58722","Ursus arctos","Brown Bear","Juvenile","Unknown",3,"Mammals",59.42643,-136.2225
"Snapshot USA - 2019","d58722","Alces alces","Moose","Adult","Male",1,"Mammals",59.42643,-136.2225
"Snapshot USA - 2019","d58723","Canis latrans","Coyote","Unknown","Unknown",1,"Mammals",59.39905,-135.9288
"Snapshot USA - 2019","d58723","Ursus arctos","Brown Bear","Unknown","Unknown",1,"Mammals",59.39905,-135.9288
"Snapshot USA - 2019","d58723","Ursus arctos","Brown Bear","Unknown","Unknown",2,"Mammals",59.39905,-135.9288
"Snapshot USA - 2019","d58723","Pica hudsonia","Other Bird species","Unknown","Unknown",1,"Aves",59.39905,-135.9288
"Snapshot USA - 2019","d58723","Lynx canadensis","Canada Lynx","Unknown","Unknown",1,"Mammals",59.39905,-135.9288
"Snapshot USA - 2019","d58723","Homo sapiens","Human non-staff","Unknown","Unknown",1,"Mammals",59.39905,-135.9288
"Snapshot USA - 2019","d58723","Alces alces","Moose","Adult","Female",1,"Mammals",59.39905,-135.9288
"Snapshot USA - 2019","d58724","Ursus arctos","Brown Bear","Unknown","Unknown",1,"Mammals",59.3802,-135.84097
"Snapshot USA - 2019","d58724","Haliaeetus leucocephalus","Bald Eagle","Juvenile","Unknown",1,"Aves",59.3802,-135.84097
"Snapshot USA - 2019","d58724","Haliaeetus leucocephalus","Bald Eagle","Juvenile","Unknown",2,"Aves",59.3802,-135.84097
"Snapshot USA - 2019","d58724","Haliaeetus leucocephalus","Bald Eagle","Adult","Male",1,"Aves",59.3802,-135.84097
"Snapshot USA - 2019","d58724","Canis familiaris","Domestic Dog","Unknown","Unknown",1,"Mammals",59.3802,-135.84097
"Snapshot USA - 2019","d58724","Homo sapiens","Human non-staff","Unknown","Unknown",3,"Mammals",59.3802,-135.84097
"Snapshot USA - 2019","d58724","Haliaeetus leucocephalus","Bald Eagle","Adult","Male",2,"Aves",59.3802,-135.84097
"Snapshot USA - 2019","d58724","Haliaeetus leucocephalus","Bald Eagle","Juvenile","Male",1,"Aves",59.3802,-135.84097
"Snapshot USA - 2019","d58724","Canis familiaris","Domestic Dog","Unknown","Unknown",2,"Mammals",59.3802,-135.84097
